parameter_name,parameter_scope,source_class,value,unit,location,source_detail,notes
main_plane,template:A06,assumption,frontal,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A06,assumption,long,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A06,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A06,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A06,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A06,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A06,assumption,"[""S7"", ""S9""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A06,assumption,"[""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A06,assumption,"{""S2"": 0.25, ""S8"": 0.25, ""S10"": 0.5}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A06,assumption,"{""S2"": 0.55, ""S8"": 0.15, ""S10"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A06,assumption,"{""S2"": 0.25, ""S8"": 0.3, ""S10"": 0.45}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A07,assumption,full_body,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A07,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A07,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A07,assumption,single_support_rotational,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A07,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A07,assumption,multi_plane,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A07,assumption,long,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A07,assumption,3,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A07,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A07,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A07,assumption,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A07,assumption,"[""S7"", ""S9""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A07,assumption,"[""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A07,assumption,"{""S2"": 0.3, ""S7"": 0.1, ""S8"": 0.2, ""S9"": 0.1, ""S10"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A07,assumption,"{""S2"": 0.45, ""S7"": 0.15, ""S8"": 0.15, ""S9"": 0.1, ""S10"": 0.15}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A07,assumption,"{""S2"": 0.35, ""S7"": 0.1, ""S8"": 0.2, ""S9"": 0.05, ""S10"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A08,assumption,unilateral_lower,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A08,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A08,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A08,assumption,single_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A08,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A08,assumption,transverse,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A08,assumption,mid,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A08,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A08,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A08,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A08,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A08,assumption,"[""S7"", ""S9""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A08,assumption,"[""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A08,assumption,"{""S2"": 0.1, ""S8"": 0.2, ""S10"": 0.7}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A08,assumption,"{""S2"": 0.5, ""S8"": 0.15, ""S10"": 0.35}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A08,assumption,"{""S2"": 0.15, ""S8"": 0.25, ""S10"": 0.6}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A09,assumption,unilateral_lower,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A09,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A09,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A09,assumption,quasi_single_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A09,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A09,assumption,sagittal,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A09,assumption,close,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A09,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A09,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A09,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A09,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A09,assumption,"[""S7"", ""S9""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A09,assumption,"[""S8""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A09,assumption,"{""S2"": 0.2, ""S8"": 0.65, ""S10"": 0.15}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A09,assumption,"{""S2"": 0.5, ""S8"": 0.35, ""S10"": 0.15}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A09,assumption,"{""S2"": 0.1, ""S8"": 0.7, ""S10"": 0.2}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A10,assumption,upper_lower_combo,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A10,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A10,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A10,assumption,double_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A10,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A10,assumption,multi_plane,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A10,assumption,mid,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A10,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A10,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A10,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A10,assumption,"[""S2"", ""S4"", ""S6"", ""S8"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A10,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A10,assumption,"[""S6"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A10,assumption,"{""S2"": 0.2, ""S4"": 0.1, ""S6"": 0.2, ""S8"": 0.2, ""S10"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A10,assumption,"{""S2"": 0.4, ""S4"": 0.1, ""S6"": 0.15, ""S8"": 0.15, ""S10"": 0.2}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A10,assumption,"{""S2"": 0.15, ""S4"": 0.15, ""S6"": 0.2, ""S8"": 0.2, ""S10"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A11,assumption,full_body,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A11,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A11,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A11,assumption,single_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A11,assumption,5,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A11,assumption,multi_plane,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A11,assumption,mid,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A11,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A11,assumption,4,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A11,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A11,assumption,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A11,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A11,assumption,"[""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A11,assumption,"{""S2"": 0.15, ""S7"": 0.1, ""S8"": 0.2, ""S9"": 0.15, ""S10"": 0.4}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A11,assumption,"{""S2"": 0.35, ""S7"": 0.15, ""S8"": 0.15, ""S9"": 0.15, ""S10"": 0.2}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A11,assumption,"{""S2"": 0.1, ""S7"": 0.1, ""S8"": 0.2, ""S9"": 0.2, ""S10"": 0.4}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A12,assumption,full_body,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A12,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A12,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A12,assumption,dynamic_double_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A12,assumption,3,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A12,assumption,sagittal,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A12,assumption,entry,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A12,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A12,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A12,assumption,0.6,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A12,assumption,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A12,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A12,assumption,"[""S2""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A12,assumption,"{""S2"": 0.6, ""S7"": 0.1, ""S8"": 0.1, ""S9"": 0.1, ""S10"": 0.1}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A12,assumption,"{""S2"": 0.5, ""S7"": 0.1, ""S8"": 0.1, ""S9"": 0.15, ""S10"": 0.15}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A12,assumption,"{""S2"": 0.5, ""S7"": 0.15, ""S8"": 0.15, ""S9"": 0.1, ""S10"": 0.1}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A13,assumption,conditional,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A13,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A13,assumption,fallen,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A13,assumption,recovery_transition,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A13,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A13,assumption,multi_plane,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A13,assumption,ground,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A13,assumption,3,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A13,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A13,assumption,0.2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A13,assumption,"[""S2"", ""S4"", ""S6"", ""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A13,assumption,"[""S4"", ""S6"", ""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A13,assumption,"[""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A13,assumption,"{""S2"": 0.2, ""S4"": 0.1, ""S6"": 0.2, ""S7"": 0.1, ""S8"": 0.15, ""S9"": 0.1, ""S10"": 0.15}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A13,assumption,"{""S2"": 0.35, ""S4"": 0.05, ""S6"": 0.1, ""S7"": 0.15, ""S8"": 0.15, ""S9"": 0.1, ""S10"": 0.1}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A13,assumption,"{""S2"": 0.2, ""S4"": 0.1, ""S6"": 0.15, ""S7"": 0.15, ""S8"": 0.15, ""S9"": 0.1, ""S10"": 0.15}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_time_ratio,phase:A03-P1,assumption,0.45,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
phase_theta_deg,phase:A03-P1,assumption,45,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
support_mode_phase,phase:A03-P1,assumption,double_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
translation_share,phase:A03-P1,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
active_segments_json,phase:A03-P1,assumption,"[""S2"", ""S4"", ""S6""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
strike_segments_json,phase:A03-P1,assumption,"[""S6""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
impact_weight_json,phase:A03-P1,assumption,"{""S2"": 0.15, ""S4"": 0.25, ""S6"": 0.6}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
stability_weight_json,phase:A03-P1,assumption,"{""S2"": 0.5, ""S4"": 0.2, ""S6"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
theta_share_json,phase:A03-P1,assumption,"{""S2"": 0.1, ""S4"": 0.35, ""S6"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
phase_decay,phase:A03-P1,assumption,1.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：straight_entry
phase_time_ratio,phase:A03-P2,assumption,0.55,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
phase_theta_deg,phase:A03-P2,assumption,55,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
support_mode_phase,phase:A03-P2,assumption,double_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
translation_share,phase:A03-P2,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
active_segments_json,phase:A03-P2,assumption,"[""S2"", ""S3"", ""S5""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
strike_segments_json,phase:A03-P2,assumption,"[""S5""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
impact_weight_json,phase:A03-P2,assumption,"{""S2"": 0.25, ""S3"": 0.25, ""S5"": 0.5}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
stability_weight_json,phase:A03-P2,assumption,"{""S2"": 0.55, ""S3"": 0.15, ""S5"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
theta_share_json,phase:A03-P2,assumption,"{""S2"": 0.25, ""S3"": 0.3, ""S5"": 0.45}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
phase_decay,phase:A03-P2,assumption,0.95,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：hook_follow
phase_time_ratio,phase:A07-P1,assumption,0.45,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
phase_theta_deg,phase:A07-P1,assumption,200,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
support_mode_phase,phase:A07-P1,assumption,single_support_rotational,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
translation_share,phase:A07-P1,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
active_segments_json,phase:A07-P1,assumption,"[""S2"", ""S7"", ""S9""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
strike_segments_json,phase:A07-P1,assumption,[],-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
impact_weight_json,phase:A07-P1,assumption,"{""S2"": 0.55, ""S7"": 0.25, ""S9"": 0.2}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
stability_weight_json,phase:A07-P1,assumption,"{""S2"": 0.5, ""S7"": 0.25, ""S9"": 0.25}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
theta_share_json,phase:A07-P1,assumption,"{""S2"": 0.6, ""S7"": 0.25, ""S9"": 0.15}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
phase_decay,phase:A07-P1,assumption,1.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：spin_load
phase_time_ratio,phase:A07-P2,assumption,0.55,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
phase_theta_deg,phase:A07-P2,assumption,180,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
support_mode_phase,phase:A07-P2,assumption,single_support_rotational,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
translation_share,phase:A07-P2,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
active_segments_json,phase:A07-P2,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
strike_segments_json,phase:A07-P2,assumption,"[""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
impact_weight_json,phase:A07-P2,assumption,"{""S2"": 0.25, ""S8"": 0.25, ""S10"": 0.5}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
stability_weight_json,phase:A07-P2,assumption,"{""S2"": 0.45, ""S8"": 0.2, ""S10"": 0.35}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
theta_share_json,phase:A07-P2,assumption,"{""S2"": 0.25, ""S8"": 0.3, ""S10"": 0.45}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
phase_decay,phase:A07-P2,assumption,0.95,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_release
phase_time_ratio,phase:A10-P1,assumption,0.4,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
phase_theta_deg,phase:A10-P1,assumption,50,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
support_mode_phase,phase:A10-P1,assumption,double_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
translation_share,phase:A10-P1,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
active_segments_json,phase:A10-P1,assumption,"[""S2"", ""S4"", ""S6""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
strike_segments_json,phase:A10-P1,assumption,"[""S6""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
impact_weight_json,phase:A10-P1,assumption,"{""S2"": 0.15, ""S4"": 0.25, ""S6"": 0.6}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
stability_weight_json,phase:A10-P1,assumption,"{""S2"": 0.5, ""S4"": 0.2, ""S6"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
theta_share_json,phase:A10-P1,assumption,"{""S2"": 0.1, ""S4"": 0.35, ""S6"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
phase_decay,phase:A10-P1,assumption,1.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：punch_setup
phase_time_ratio,phase:A10-P2,assumption,0.6,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
phase_theta_deg,phase:A10-P2,assumption,90,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
support_mode_phase,phase:A10-P2,assumption,single_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
translation_share,phase:A10-P2,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
active_segments_json,phase:A10-P2,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
strike_segments_json,phase:A10-P2,assumption,"[""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
impact_weight_json,phase:A10-P2,assumption,"{""S2"": 0.15, ""S8"": 0.3, ""S10"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
stability_weight_json,phase:A10-P2,assumption,"{""S2"": 0.5, ""S8"": 0.2, ""S10"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
theta_share_json,phase:A10-P2,assumption,"{""S2"": 0.1, ""S8"": 0.35, ""S10"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
phase_decay,phase:A10-P2,assumption,0.92,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_finish
phase_time_ratio,phase:A11-P1,assumption,0.2,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
phase_theta_deg,phase:A11-P1,assumption,90,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
support_mode_phase,phase:A11-P1,assumption,single_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
translation_share,phase:A11-P1,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
active_segments_json,phase:A11-P1,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
strike_segments_json,phase:A11-P1,assumption,"[""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
impact_weight_json,phase:A11-P1,assumption,"{""S2"": 0.15, ""S8"": 0.3, ""S10"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
stability_weight_json,phase:A11-P1,assumption,"{""S2"": 0.5, ""S8"": 0.2, ""S10"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
theta_share_json,phase:A11-P1,assumption,"{""S2"": 0.1, ""S8"": 0.35, ""S10"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
phase_decay,phase:A11-P1,assumption,1.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_1
phase_time_ratio,phase:A11-P2,assumption,0.2,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
phase_theta_deg,phase:A11-P2,assumption,90,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
support_mode_phase,phase:A11-P2,assumption,single_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
translation_share,phase:A11-P2,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
active_segments_json,phase:A11-P2,assumption,"[""S2"", ""S7"", ""S9""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
strike_segments_json,phase:A11-P2,assumption,"[""S9""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
impact_weight_json,phase:A11-P2,assumption,"{""S2"": 0.15, ""S7"": 0.3, ""S9"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
stability_weight_json,phase:A11-P2,assumption,"{""S2"": 0.5, ""S7"": 0.2, ""S9"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
theta_share_json,phase:A11-P2,assumption,"{""S2"": 0.1, ""S7"": 0.35, ""S9"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
phase_decay,phase:A11-P2,assumption,0.96,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_2
phase_time_ratio,phase:A11-P3,assumption,0.2,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
phase_theta_deg,phase:A11-P3,assumption,90,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
support_mode_phase,phase:A11-P3,assumption,single_support,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
translation_share,phase:A11-P3,assumption,0.0,-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
active_segments_json,phase:A11-P3,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
strike_segments_json,phase:A11-P3,assumption,"[""S10""]",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
impact_weight_json,phase:A11-P3,assumption,"{""S2"": 0.15, ""S8"": 0.3, ""S10"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
stability_weight_json,phase:A11-P3,assumption,"{""S2"": 0.5, ""S8"": 0.2, ""S10"": 0.3}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
theta_share_json,phase:A11-P3,assumption,"{""S2"": 0.1, ""S8"": 0.35, ""S10"": 0.55}",-,q1_action_phase_templates.csv,phase_template,动作相位模板字段：kick_3
